model,release,hashRate,power,algo,profitability,efficiency
Bitmain Antminer V9 (4Th),Mar 2018, 4Th/s, 1027W,SHA-256, -$1.35/day,0.257j/Gh
Ebang Ebit E10,Feb 2018, 18Th/s, 1650W,SHA-256, $2.51/day,0.092j/Gh
Canaan AvalonMiner 821,Feb 2018, 11.5Th/s, 1200W,SHA-256, $1.18/day,0.104j/Gh
Ebang Ebit E9+,Jan 2018, 9Th/s, 1300W,SHA-256, -$0.12/day,0.144j/Gh
Pantech WX6,Jan 2018, 34Th/s, 5000W,SHA-256, -$0.69/day,0.147j/Gh
Bitmain Antminer T9+ (10.5Th),Jan 2018, 10.5Th/s, 1432W,SHA-256, $0.11/day,0.136j/Gh
Bitfily Snow Panther A1,Jan 2018, 49Th/s, 5400W,SHA-256, $4.20/day,0.11j/Gh
MicroBT Whatsminer M3,Jan 2018, 12Th/s, 2000W,SHA-256, -$0.92/day,0.167j/Gh
Bitfury B8,Dec 2017, 49Th/s, 6400W,SHA-256, $1.32/day,0.131j/Gh
Bitmain Antminer S9 (14Th),Nov 2017, 14Th/s, 1372W,SHA-256, $1.69/day,0.098j/Gh
Pantech SX6,Sep 2017, 8.5Th/s, 1000W,SHA-256, $0.55/day,0.118j/Gh
Bitmain Antminer S9 (13.5Th),Sep 2017, 13.5Th/s, 1323W,SHA-256, $1.63/day,0.098j/Gh
Bitmain Antminer T9 (12.5Th),Aug 2017, 12.5Th/s, 1576W,SHA-256, $0.50/day,0.126j/Gh
Bitmain Antminer S9 (13Th),Jul 2017, 13Th/s, 1300W,SHA-256, $1.50/day,0.1j/Gh
Bitmain Antminer T9 (11.5Th),Apr 2017, 11.5Th/s, 1450W,SHA-256, $0.46/day,0.126j/Gh
Canaan AvalonMiner 741,Apr 2017, 7.3Th/s, 1150W,SHA-256, -$0.37/day,0.158j/Gh
Bitmain Antminer R4,Feb 2017, 8.7Th/s, 845W,SHA-256, $1.07/day,0.097j/Gh
Bitmain Antminer S9 (12.5Th),Feb 2017, 12.5Th/s, 1225W,SHA-256, $1.51/day,0.098j/Gh
Bitmain Antminer S7-LN,Jun 2016, 2.7Th/s, 697W,SHA-256, -$0.92/day,0.258j/Gh
Bitmain Antminer S9 (11.5Th),Jun 2016, 11.5Th/s, 1127W,SHA-256, $1.39/day,0.098j/Gh
Bitmain Antminer S7,Sep 2015, 4.73Th/s, 1293W,SHA-256, -$1.82/day,0.273j/Gh
Bitmain Antminer S5,Dec 2014, 1.155Th/s, 590W,SHA-256, -$1.23/day,0.511j/Gh
Bitmain Antminer S3,Jul 2014, 478Gh/s, 366W,SHA-256, -$0.86/day,0.001j/Mh
StrongU STU-U6,Nov 2019, 440Gh/s, 2200W,X11, $13.63/day,0.005j/Mh
FusionSilicon X7 Miner,Mar 2019, 262Gh/s, 1420W,X11, $7.80/day,0.005j/Mh
Bitmain Antminer D5 (119Gh)	,Nov 2018, 119Gh/s, 1566W,X11, $0.89/day,0.013j/Mh
Dayun Zig D1,Nov 2018, 48Gh/s, 2200W,X11, -$4.16/day,0.046j/Mh
Baikal BK-G28,Oct 2018, 28Gh/s, 1300W,X11, -$2.47/day,0.046j/Mh
Spondoolies SPx36,Sep 2018, 540Gh/s, 4400W,X11, $11.83/day,0.008j/Mh
iBeLink DM56G,May 2018, 56Gh/s, 2100W,X11, -$3.51/day,0.038j/Mh
Innosilicon A5+ DashMaster,Mar 2018, 65Gh/s, 1500W,X11, -$1.37/day,0.023j/Mh
PinIdea DR-100 Pro,Nov 2017, 21Gh/s, 900W,X11, -$1.64/day,0.043j/Mh
Baikal BK-X,Nov 2017, 10Gh/s, 630W,X11, -$1.36/day,0.063j/Mh
Innosilicon A5 DashMaster,Oct 2017, 32.5Gh/s, 750W,X11, -$0.69/day,0.023j/Mh
Bitmain Antminer D3 (19.3Gh),Oct 2017, 19.3Gh/s, 1350W,X11, -$3.01/day,0.07j/Mh
Bitmain Antminer D3 (17.5Gh),Oct 2017, 17.5Gh/s, 1280W,X11, -$2.89/day,0.073j/Mh
iBeLink DM22G,Sep 2017, 22Gh/s, 810W,X11, -$1.33/day,0.037j/Mh
Bitmain Antminer D3 (15Gh),Sep 2017, 15Gh/s, 1200W,X11, -$2.78/day,0.08j/Mh
PinIdea DR-100,Aug 2017, 19Gh/s, 900W,X11, -$1.73/day,0.047j/Mh
Baikal Giant+ A2000,Aug 2017, 2Gh/s, 450W,X11, -$1.15/day,0.215j/Mh
iBeLink DM11G,Jul 2017, 10.8Gh/s, 810W,X11, -$1.84/day,0.075j/Mh
PinIdea DR-3,Apr 2017, 600Mh/s, 345W,X11, -$0.97/day,0.575j/Mh
Baikal Miner Cube,Apr 2017, 300Mh/s, 90W,X11, -$0.20/day,0.25j/Mh
Baikal Giant A900,Oct 2016, 900Mh/s, 270W,X11, -$0.58/day,0.241j/Mh
Baikal Mini Miner,Sep 2016, 150Mh/s, 50W,X11, -$0.11/day,0.267j/Mh
Baikal Quadruple Mini Miner,Aug 2016, 600Mh/s, 192W,X11, -$0.43/day,0.267j/Mh
Baikal BK-N240,May 2018, 240kh/s, 650W,CryptoNight, -$0.73/day,2.708j/kh
Baikal BK-N70,May 2018, 70kh/s, 240W,CryptoNight, -$0.30/day,3.143j/kh
Innosilicon A8C CryptoMaster,May 2018, 80kh/s, 175W,CryptoNight, -$0.12/day,2.188j/kh
Bitmain Antminer X3 (220Kh),May 2018, 220kh/s, 465W,CryptoNight, -$0.29/day,2.114j/kh
Innosilicon A8+ CryptoMaster,Apr 2018, 240kh/s, 480W,CryptoNight, -$0.24/day,2j/kh
PinIdea RR-210,Apr 2018, 30kh/s, 350W,CryptoNight, -$0.87/day,11.667j/kh
Innosilicon A8 CryptoMaster,Apr 2018, 160kh/s, 350W,CryptoNight, -$0.25/day,2.188j/kh
PinIdea RR-200,Apr 2018, 27kh/s, 350W,CryptoNight, -$0.88/day,12.963j/kh
Baikal BK-N+,Mar 2018, 40kh/s, 120W,CryptoNight, -$0.16/day,3j/kh
Baikal BK-N,Mar 2018, 20kh/s, 60W,CryptoNight, -$0.08/day,3j/kh
